s_no,transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
248,42,08-12-2022,08:29:00,63,Male,22,Clothing,3,300,147,900
249,292,10-10-2022,06:33:00,111,Male,20,Beauty,4,300,141,1200
250,416,21-08-2022,09:29:00,55,Male,53,Electronics,4,500,245,2000
251,584,31-12-2022,10:21:00,106,Female,27,Beauty,4,50,16.5,200
252,861,30-09-2022,08:57:00,22,Female,41,Clothing,3,30,9.6,90
253,1016,12-12-2022,07:39:00,52,Male,19,Clothing,3,500,200,1500
254,1042,11-02-2022,06:21:00,7,Male,22,Clothing,3,300,150,900
255,1292,15-05-2022,08:20:00,88,Male,20,Beauty,4,300,90,1200
256,1416,29-12-2022,10:47:00,111,Male,53,Electronics,4,500,125,2000
257,1584,03-09-2022,11:07:00,62,Female,27,Beauty,4,50,16.5,200
258,1861,04-07-2022,10:41:00,145,Female,41,Clothing,3,30,10.2,90
259,256,09-01-2022,08:05:00,3,Male,23,Clothing,2,500,270,1000
260,1256,05-11-2022,09:58:00,29,Male,23,Clothing,2,500,190,1000
261,44,03-03-2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25
262,257,10-12-2022,08:49:00,130,Male,19,Beauty,4,500,165,2000
263,1044,20-02-2022,09:08:00,70,Female,22,Clothing,1,25,7.5,25
264,1257,10-05-2022,11:55:00,29,Male,19,Beauty,4,500,255,2000
265,268,14-04-2022,08:26:00,93,Female,28,Electronics,1,30,8.7,30
266,287,26-08-2022,11:07:00,88,Male,54,Clothing,4,25,10,100
267,966,07-11-2022,07:22:00,119,Male,60,Electronics,2,500,190,1000
268,1268,09-06-2022,09:33:00,15,Female,28,Electronics,1,30,14.1,30
269,1287,13-09-2022,08:03:00,120,Male,54,Clothing,4,25,7,100
270,1966,20-07-2022,09:52:00,74,Male,60,Electronics,2,500,200,1000
271,70,27-12-2022,10:48:00,147,Female,43,Clothing,1,300,84,300
272,371,18-12-2022,10:01:00,32,Female,20,Beauty,1,25,13,25
273,900,10-11-2022,08:41:00,130,Male,21,Clothing,2,30,15.6,60
274,1070,14-07-2022,11:12:00,102,Female,43,Clothing,1,300,120,300
275,1371,06-05-2022,06:52:00,41,Female,20,Beauty,1,25,13.5,25
276,1900,21-01-2022,06:43:00,65,Male,21,Clothing,2,30,10.8,60
277,8,27-12-2022,11:19:00,148,Male,30,Electronics,4,25,11,100
278,41,11-10-2022,10:36:00,88,Male,34,Clothing,2,25,13.25,50
279,454,12-03-2022,07:20:00,13,Female,46,Beauty,1,25,13,25
280,780,06-07-2022,11:30:00,107,Male,52,Electronics,2,25,13.25,50
281,920,20-08-2022,10:25:00,99,Female,28,Beauty,3,25,6.75,75
282,1008,10-01-2022,08:51:00,116,Male,30,Electronics,4,25,13,100
283,1041,10-05-2022,07:27:00,74,Male,34,Clothing,2,25,11,50
284,1454,25-06-2022,11:18:00,22,Female,46,Beauty,1,25,6.75,25
285,1780,11-12-2022,10:00:00,32,Male,52,Electronics,2,25,10.5,50
286,1920,24-10-2022,08:33:00,23,Female,28,Beauty,3,25,9.25,75
287,396,15-12-2022,07:11:00,29,Female,55,Beauty,1,30,10.8,30
288,1396,07-06-2022,06:23:00,9,Female,55,Beauty,1,30,8.4,30
289,168,29-04-2022,09:20:00,138,Male,53,Clothing,1,300,102,300
290,400,08-03-2022,09:52:00,2,Male,53,Clothing,4,50,24,200
291,611,21-07-2022,08:13:00,11,Male,51,Beauty,3,500,180,1500
292,800,19-09-2022,07:33:00,111,Male,32,Clothing,4,300,87,1200
293,1168,10-07-2022,07:56:00,68,Male,53,Clothing,1,300,150,300
294,1400,12-09-2022,11:54:00,115,Male,53,Clothing,4,50,20,200
295,1611,17-11-2022,07:30:00,125,Male,51,Beauty,3,500,180,1500
296,1800,21-08-2022,10:53:00,1,Male,32,Clothing,4,300,111,1200
297,272,10-06-2022,11:57:00,112,Female,61,Electronics,2,50,27.5,100
298,473,25-09-2022,10:09:00,1,Male,64,Beauty,1,50,14.5,50
299,506,29-04-2022,07:13:00,9,Male,34,Beauty,3,500,200,1500
300,766,04-01-2022,08:02:00,128,Male,38,Electronics,3,300,165,900
301,1272,14-04-2022,11:59:00,66,Female,61,Electronics,2,50,17,100
302,1473,19-03-2022,09:06:00,30,Male,64,Beauty,1,50,13,50
303,1506,09-01-2022,07:31:00,52,Male,34,Beauty,3,500,245,1500
304,1766,22-11-2022,06:08:00,6,Male,38,Electronics,3,300,129,900
305,135,18-04-2022,07:22:00,104,Male,20,Clothing,2,25,13,50
306,1135,14-01-2022,08:16:00,124,Male,20,Clothing,2,25,12.5,50
307,2,24-06-2022,10:07:00,104,Female,26,Clothing,2,500,135,1000
308,158,21-01-2022,11:38:00,141,Female,44,Electronics,2,300,132,600
309,185,27-06-2022,09:48:00,57,Male,24,Clothing,1,25,7,25
310,433,29-07-2022,08:48:00,144,Male,29,Beauty,4,50,20,200
311,1002,02-03-2022,09:24:00,69,Female,26,Clothing,2,500,270,1000
312,1158,24-02-2022,09:29:00,77,Female,44,Electronics,2,300,138,600
313,1185,04-10-2022,10:28:00,153,Male,24,Clothing,1,25,10.25,25
314,1433,16-01-2022,11:41:00,113,Male,29,Beauty,4,50,15.5,200
315,152,16-06-2022,11:58:00,120,Male,43,Electronics,4,500,210,2000
316,753,06-07-2022,10:07:00,70,Female,32,Clothing,1,30,15.9,30
317,763,23-04-2022,09:43:00,58,Male,34,Clothing,2,25,11.5,50
318,932,08-10-2022,08:33:00,120,Female,45,Beauty,4,25,7.75,100
319,1152,26-12-2022,07:48:00,87,Male,43,Electronics,4,500,170,2000
320,1753,17-07-2022,07:40:00,28,Female,32,Clothing,1,30,10.5,30
321,1763,30-06-2022,11:37:00,93,Male,34,Clothing,2,25,13.5,50
322,1932,08-11-2022,07:07:00,96,Female,45,Beauty,4,25,6.25,100
323,399,07-12-2022,09:25:00,136,Female,64,Beauty,2,30,12.9,60
324,500,14-10-2022,06:11:00,120,Female,60,Beauty,4,25,11.5,100
325,514,04-11-2022,08:35:00,139,Female,18,Electronics,1,300,96,300
326,1399,28-01-2022,09:32:00,15,Female,64,Beauty,2,30,16.2,60
327,1500,20-04-2022,08:36:00,53,Female,60,Beauty,4,25,8.5,100
328,1514,12-07-2022,10:55:00,59,Female,18,Electronics,1,300,75,300
329,947,31-07-2022,07:09:00,4,Male,50,Beauty,1,300,129,300
330,1947,05-03-2022,06:27:00,134,Male,50,Beauty,1,300,75,300
331,220,07-05-2022,06:44:00,138,Male,64,Beauty,1,500,140,500
332,339,18-08-2022,10:27:00,33,Female,22,Electronics,2,25,10.25,50
333,785,19-10-2022,06:09:00,88,Female,31,Beauty,4,50,13,200
334,885,17-09-2022,10:10:00,121,Female,52,Clothing,4,30,14.4,120
335,888,01-12-2022,06:03:00,63,Female,52,Electronics,4,25,12.75,100
336,1220,29-06-2022,11:16:00,47,Male,64,Beauty,1,500,240,500
337,1339,10-11-2022,10:34:00,132,Female,22,Electronics,2,25,7.5,50
338,1785,20-02-2022,11:17:00,144,Female,31,Beauty,4,50,17,200
339,1885,09-11-2022,07:32:00,148,Female,52,Clothing,4,30,10.8,120
340,1888,14-06-2022,08:10:00,49,Female,52,Electronics,4,25,12.5,100
341,621,13-04-2022,09:55:00,138,Female,40,Beauty,2,500,275,1000
342,1621,22-09-2022,10:49:00,2,Female,40,Beauty,2,500,160,1000
343,52,19-09-2022,09:42:00,55,Female,36,Beauty,1,300,111,300
344,536,20-08-2022,06:25:00,17,Female,55,Beauty,4,30,8.7,120
345,1052,12-02-2022,06:12:00,94,Female,36,Beauty,1,300,120,300
346,1536,11-05-2022,07:23:00,14,Female,55,Beauty,4,30,13.5,120
347,197,03-04-2022,11:57:00,14,Female,42,Clothing,4,50,25.5,200
348,750,13-11-2022,07:33:00,69,Female,35,Clothing,3,25,8.75,75
349,910,21-08-2022,06:29:00,138,Female,20,Beauty,3,50,22.5,150
350,917,15-02-2022,11:50:00,120,Female,57,Electronics,4,50,16.5,200
351,1197,13-08-2022,10:07:00,77,Female,42,Clothing,4,50,19,200
352,1750,20-01-2022,10:10:00,138,Female,35,Clothing,3,25,7.25,75
353,1910,09-10-2022,06:22:00,141,Female,20,Beauty,3,50,18,150
354,1917,02-05-2022,07:17:00,52,Female,57,Electronics,4,50,24,200
355,198,21-05-2022,11:42:00,30,Female,54,Beauty,3,300,114,900
356,444,06-10-2022,07:06:00,51,Female,61,Clothing,3,30,15.9,90
357,547,14-11-2022,07:36:00,3,Male,63,Clothing,4,500,250,2000
358,705,30-09-2022,07:28:00,37,Male,60,Electronics,2,25,6.25,50
359,1198,07-08-2022,10:43:00,147,Female,54,Beauty,3,300,159,900
360,1444,29-04-2022,06:18:00,135,Female,61,Clothing,3,30,14.1,90
